name,internal_url,website_url,outbound_url,external_domain,category,featured,curated_pick,external_http_code,external_effective_url,external_redirects,reachability
Bartender 6,https://macapp.supply/app/bartender-6,https://www.macbartender.com/,https://www.macbartender.com/?ref=macapp.supply,www.macbartender.com,Utility,False,False,200,https://www.macbartender.com/,0,reachable
Sketch,https://macapp.supply/app/sketch,http://sketch.com/,http://sketch.com/?ref=macapp.supply,sketch.com,Design,False,True,200,https://www.sketch.com/,2,reachable
Raycast,https://macapp.supply/app/raycast,https://www.raycast.com/,https://www.raycast.com/?ref=macapp.supply,www.raycast.com,Productivity,False,True,200,https://www.raycast.com/,0,reachable
AgentPeek,https://macapp.supply/app/agentpeek,https://agentpeek.app/,https://agentpeek.app/?ref=macapp.supply,agentpeek.app,Dev,False,False,200,https://agentpeek.app/,0,reachable
mymind,https://macapp.supply/app/mymind,https://mymind.com/,https://mymind.com/?ref=macapp.supply,mymind.com,Productivity,False,True,200,https://mymind.com/,0,reachable
Craft,https://macapp.supply/app/craft,https://www.craft.do/,https://www.craft.do/?ref=macapp.supply,www.craft.do,Writing,False,True,200,https://www.craft.do/,0,reachable
Screen Charm,https://macapp.supply/app/screen-charm,https://screencharm.com/,https://screencharm.com/?ref=macapp.supply,screencharm.com,Video,False,False,200,https://screencharm.com/,0,reachable
CleanMyMac,https://macapp.supply/app/cleanmymac,https://macpaw.com/cleanmymac,https://macpaw.com/cleanmymac?ref=macapp.supply,macpaw.com,Utility,False,False,200,https://macpaw.com/cleanmymac,0,reachable
DynamicLake,https://macapp.supply/app/dynamiclake,https://www.dynamiclake.com/,https://www.dynamiclake.com/?ref=macapp.supply,www.dynamiclake.com,Productivity,False,False,200,https://www.dynamiclake.com/,0,reachable
Notion,https://macapp.supply/app/notion,http://notion.so/,http://notion.so/?ref=macapp.supply,notion.so,Productivity,False,False,200,https://www.notion.com/,3,reachable
Notion Calendar,https://macapp.supply/app/notion-calendar,https://www.notion.com/product/calendar,https://www.notion.com/product/calendar?ref=macapp.supply,www.notion.com,Productivity,False,False,200,https://www.notion.com/product/calendar,0,reachable
GatherOS,https://macapp.supply/app/gatheros,https://www.gatheros.co/,https://www.gatheros.co/?ref=macapp.supply,www.gatheros.co,Design,False,True,200,https://www.gatheros.co/,0,reachable
Wallspace,https://macapp.supply/app/wallspace,https://wallspace.app?atp=solt,https://wallspace.app?atp=solt&ref=macapp.supply,wallspace.app,Utility,False,True,200,https://wallspace.app/?atp=solt,0,reachable
Cursor,https://macapp.supply/app/cursor,https://cursor.com/referral?code=REDACTED,https://cursor.com/referral?code=REDACTED&ref=macapp.supply,cursor.com,Dev,False,False,200,https://cursor.com/referral?code=REDACTED,0,reachable
CleanShot X,https://macapp.supply/app/cleanshot-x,https://cleanshot.com/,https://cleanshot.com/?ref=macapp.supply,cleanshot.com,Utility,False,True,200,https://cleanshot.com/,0,reachable
Revone,https://macapp.supply/app/revone,http://revone.app/,http://revone.app/?ref=macapp.supply,revone.app,Analytics,True,False,200,https://revone.app/,1,reachable
Waterlemon,https://macapp.supply/app/waterlemon,https://sohna.dev/waterlemon/,https://sohna.dev/waterlemon/?ref=macapp.supply,sohna.dev,Design,False,True,200,https://sohna.dev/waterlemon/,0,reachable
Onlook,https://macapp.supply/app/onlook,https://onlook.cam/,https://onlook.cam/?ref=macapp.supply,onlook.cam,Utility,False,True,200,https://onlook.cam/,0,reachable
DeskMinder,https://macapp.supply/app/deskminder,https://deskminder.appps.od.ua/,https://deskminder.appps.od.ua/?ref=macapp.supply,deskminder.appps.od.ua,Productivity,False,True,200,https://deskminder.appps.od.ua/,0,reachable
Subscription Day,https://macapp.supply/app/subscription-day,https://subsday.appps.od.ua/,https://subsday.appps.od.ua/?ref=macapp.supply,subsday.appps.od.ua,Lifestyle,False,True,200,https://subsday.appps.od.ua/,0,reachable
Toplify,https://macapp.supply/app/toplify,https://toplify.app/,https://toplify.app/?ref=macapp.supply,toplify.app,Marketing,False,True,200,https://toplify.app/,0,reachable
